Nombre,URL,Disponibilidad,Fecha
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 18:17:08.968000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 18:17:08.968000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 18:17:08.968000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 18:17:08.968000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 18:17:08.968000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 18:17:08.968000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 18:17:08.968000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 18:17:08.968000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 18:17:08.968000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 18:17:08.968000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 18:17:08.968000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 18:17:08.968000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 18:17:08.968000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 18:17:08.968000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 18:21:05.374000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 18:21:05.374000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 18:21:05.374000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 18:21:05.374000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 18:21:05.374000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 18:21:05.374000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 18:21:05.374000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 18:21:05.374000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 18:21:05.374000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 18:21:05.374000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 18:21:05.374000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 18:21:05.374000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 18:21:05.374000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 18:21:05.374000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 18:35:03.883000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 18:35:03.883000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 18:35:03.883000
